지역명,규모구분,연도,월,분양가격(제곱미터),제곱미터당분양가격,평당분양가격,전용면적
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2061,2061.0,6801.299999999999,85~102
강원,전용면적 102제곱미터초과,2016,1,2171,2171.0,7164.299999999999,102~
충북,모든면적,2016,1,"2,008",2008.0,6626.4,모든면적
충북,전용면적 60제곱미터이하,2016,1,1952,1952.0,6441.599999999999,60
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2021,2021.0,6669.299999999999,60~85
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2276,2276.0,7510.799999999999,85~102
충북,전용면적 102제곱미터초과,2016,1,2261,2261.0,7461.299999999999,102~
충남,모든면적,2016,1,"2,270",2270.0,7491.0,모든면적
충남,전용면적 60제곱미터이하,2016,1,2481,2481.0,8187.299999999999,60
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2281,2281.0,7527.299999999999,60~85
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2541,2541.0,8385.3,85~102
충남,전용면적 102제곱미터초과,2016,1,2444,2444.0,8065.2,102~
전북,모든면적,2016,1,"1,980",1980.0,6534.0,모든면적
전북,전용면적 60제곱미터이하,2016,1,1908,1908.0,6296.4,60
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,1987,1987.0,6557.099999999999,60~85
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2377,2377.0,7844.099999999999,85~102
전북,전용면적 102제곱미터초과,2016,1,2282,2282.0,7530.599999999999,102~
전남,모든면적,2016,1,"1,909",1909.0,6299.7,모든면적
전남,전용면적 60제곱미터이하,2016,1,1999,1999.0,6596.7,60
전남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,1906,1906.0,6289.799999999999,60~85
전남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2262,2262.0,7464.599999999999,85~102
전남,전용면적 102제곱미터초과,2016,1,2176,2176.0,7180.799999999999,102~
경북,모든면적,2016,1,"2,181",2181.0,7197.299999999999,모든면적
경북,전용면적 60제곱미터이하,2016,1,2178,2178.0,7187.4,60
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2185,2185.0,7210.5,60~85
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2516,2516.0,8302.8,85~102
경북,전용면적 102제곱미터초과,2016,1,2346,2346.0,7741.799999999999,102~
경남,모든면적,2016,1,"2,327",2327.0,7679.099999999999,모든면적
